"Pcode
",Pcode Name,Governorate,District,Cadaster,Local Name,Latitude,Longitude,Shelter Type,Status,Number of Tents,Number of Ind,Date of the Update,Updated By,Updated On,Discovery Date,Date the site was created,Number of Latrines,Water Capacity in L,Number of SSBs,Number of Ind in SSBs,Type of Water Source,Waste Disposal,Waste Water Disposal,Type of Contract,Type of Internet Connection,Consultation Fee for PHC (3000/5000),Free Vaccination for Children under 12
23311-01-004,Aalmane Ech-Chouf 004,Mount Lebanon,Chouf,Aalmane Ech-Chouf,Aalmane,33.59350967,35.39878082,IS- Informal Settlement,Inactive,0,0,12/1/16,PU-AMI,Sixth Update - 2016,2/19/15,1/19/12,0,0,0,0,,,,,,,
23311-01-005,Aalmane Ech-Chouf 005,Mount Lebanon,Chouf,Aalmane Ech-Chouf,Aalamane,33.59275818,35.40172958,IS- Informal Settlement,Inactive,0,0,12/6/16,PU-AMI,Sixth Update - 2016,2/19/15,1/19/12,0,0,0,0,,,,,,,
23311-01-006,Aalmane Ech-Chouf 006,Mount Lebanon,Chouf,Aalmane Ech-Chouf,Aalmane 006,33.59796906,35.41635132,IS- Informal Settlement,Less than 4,2,10,12/1/16,PU-AMI,Sixth Update - 2016,4/20/15,3/1/11,1,3000,1,10,Well,Burn it,Cesspit,Verbal,Mobile network - 3G / 4G,Yes,Yes
23311-01-007,Aalmane Ech-Chouf 007,Mount Lebanon,Chouf,Aalmane Ech-Chouf,Aalmane 007,33.59881973,35.41365814,IS- Informal Settlement,Active,5,29,12/6/16,PU-AMI,Sixth Update - 2016,4/20/15,7/20/13,0,2000,0,0,Well,Burn it,Cesspit,Verbal,Mobile network - 3G / 4G,Yes,Yes
23311-01-008,Aalmane Ech-Chouf 008,Mount Lebanon,Chouf,Aalmane Ech-Chouf,Aalmane 008,33.59360123,35.41421127,IS- Informal Settlement,Inactive,0,0,12/1/16,PU-AMI,Sixth Update - 2016,4/17/15,3/17/11,0,0,0,0,,,,,,,
23311-01-009,Aalmane Ech-Chouf 009,Mount Lebanon,Chouf,Aalmane Ech-Chouf,Aalmane 009,33.59719086,35.41505814,IS- Informal Settlement,Less than 4,1,6,12/1/16,PU-AMI,Sixth Update - 2016,4/17/15,3/17/11,0,0,0,0,Well,Burn it,Cesspit,Verbal,No Internet access,Yes,Yes
23311-01-010,Aalmane Ech-Chouf 010,Mount Lebanon,Chouf,Aalmane Ech-Chouf,Aalmane 10,33.59008026,35.39949036,IS- Informal Settlement,Inactive,0,0,12/1/16,PU-AMI,Sixth Update - 2016,4/17/15,3/17/11,0,0,0,0,,,,,,,
23311-01-011,Aalmane Ech-Chouf 011,Mount Lebanon,Chouf,Aalmane Ech-Chouf,Aalamane,33.59389114,35.40132904,IS- Informal Settlement,Inactive,0,0,12/6/16,PU-AMI,Sixth Update - 2016,4/17/15,8/17/13,0,0,0,0,,,,,,,
23311-01-012,Aalmane Ech-Chouf 012,Mount Lebanon,Chouf,Aalmane Ech-Chouf,Aalmane,33.59833908,35.41241074,IS- Informal Settlement,Less than 4,1,7,12/6/16,PU-AMI,Sixth Update - 2016,6/19/15,3/1/11,0,0,0,0,Spring,Burn it,Cesspit,Verbal,Mobile network - 3G / 4G,Yes,Yes
23311-01-013,Aalmane Ech-Chouf 013,Mount Lebanon,Chouf,Aalmane Ech-Chouf,Aalamane,33.59432983,35.40541077,IS- Informal Settlement,Less than 4,1,7,12/6/16,PU-AMI,Sixth Update - 2016,10/15/15,10/1/13,0,0,0,0,Water Network,Municipality Collection,Cesspit,Verbal,Mobile network - 3G / 4G,Yes,No
